Gene ID	Chromosome	Start	End	Strand	"Length of the
representative protein"	Closest homolog	abbr
Hh01G000001	Chr1	46751	61101	-	160	Cysteine-rich venom protein 2 OS=Hydrophis hardwickii OX=8781 PE=2 SV=2|sp|Q8UW11|CRVP2_HYDHA	CRISP
Hh01G000167	Chr1	6716373	6744090	+	1266	Phospholipase A2 inhibitor OS=Gloydius brevicaudus siniticus OX=31147 PE=1 SV=1|sp|O93233|PLIB_GLOBS	PLI
Hh01G000184	Chr1	7480802	7492226	+	231	dipeptidyl peptidase 9-like [Notechis scutatus]|ref|XP_026544838.1	DPP
Hh01G000186	Chr1	7515704	7569753	-	727	dipeptidyl peptidase 9 [Protobothrops mucrosquamatus]|ref|XP_015680975.1	DPP
Hh01G000799	Chr1	63196377	63210926	+	132	placenta growth factor isoform X1 [Pseudonaja textilis]|ref|XP_026561025.1	PDGF
Hh01G001200	Chr1	111010810	111011550	-	246	brain-derived neurotrophic factor [Notechis scutatus]|ref|XP_026520411.1	NGF
Hh01G001428	Chr1	137071616	137196428	+	1144	Ryncolin-2 OS=Cerberus rynchops OX=46267 PE=1 SV=1|sp|D8VNS8|FCNV2_CERRY	Veficolin
Hh01G001449	Chr1	138172053	138235837	-	1030	sn1-specific diacylglycerol lipase alpha [Notechis scutatus]|ref|XP_026538387.1	LIP
Hh01G001590	Chr1	144279344	144279751	-	135	PA2c domain-containing protein (Fragment) OS=Ophiophagus hannah OX=8665 GN=L345_01439 PE=3 SV=1|tr|V8PFQ2|V8PFQ2_OPHHA	PLA2
Hh01G001765	Chr1	161833787	161890939	-	448	inactive dipeptidyl peptidase 10 [Notechis scutatus]|ref|XP_026521123.1	DPP
Hh01G001870	Chr1	184087186	184186361	-	776	dipeptidyl peptidase 4 isoform X2 [Notechis scutatus]|ref|XP_026530199.1	DPP
Hh01G002258	Chr1	228974384	229005207	+	388	platelet-activating factor acetylhydrolase isoform X1 [Pseudonaja textilis]|ref|XP_026563500.1	LIP
