	Hh01G000001_CRISP	Hh01G002297_CRISP	Hh02G004717_CRISP	Hh03G008934_CRISP	Hh03G008935_CRISP	Hh03G010271_CRISP	Hh03G010642_CRISP	Hh04G012535_CRISP	Hh05G015075_CRISP	Hh10G019333_CRISP	HhUnG022429_CRISP	HhUnG022502_CRISP	HhUnG022504_CRISP	HhUnG022505_CRISP
Hh01G000001_CRISP	0	0.29788841	0.66612541	0.604699305	0.83374239	0.868750357	1.308936511	0.557143889	1.740739229	0.531509084	1.318338436	0.542518159	0.423524726	0.531035467
Hh01G002297_CRISP	0.29788841	0	14.23645377	0.647872731	0.912994963	1.395186849	1.255899643	0.69515489	1.916637187	0.560043904	1.270169705	0.742564998	16.70705617	0.761988952
Hh02G004717_CRISP	0.66612541	14.23645377	0	6.325480669	17.30880049	5.584492539	9.88959019	18.13464348	3.698899884	11.24184663	7.480564942	0.831165714	3.95982676	0.768995827
Hh03G008934_CRISP	0.604699305	0.647872731	6.325480669	0	0.625953768	0.692901856	0.698769057	1.315350654	0.731257911	23.28844534	0.671845354	2.213234374	4.034046049	0.786498592
Hh03G008935_CRISP	0.83374239	0.912994963	17.30880049	0.625953768	0	0.691669334	0.525703951	0.60301338	1.151510148	0.422209846	0.437955994	0.808871709	14.1239838	0.771592131
Hh03G010271_CRISP	0.868750357	1.395186849	5.584492539	0.692901856	0.691669334	0	0.548010748	0.735197359	2.698000216	0.486078641	0.540213708	0.763512244	5.715110592	0.776671022
Hh03G010642_CRISP	1.308936511	1.255899643	9.88959019	0.698769057	0.525703951	0.548010748	0	1.134940779	1.002149966	0.968756538	0.210781258	0.641163023	9.984653763	0.599207838
Hh04G012535_CRISP	0.557143889	0.69515489	18.13464348	1.315350654	0.60301338	0.735197359	1.134940779	0	2.041546812	1.284085352	0.799420096	0.594897402	20.5737126	0.596747882
Hh05G015075_CRISP	1.740739229	1.916637187	3.698899884	0.731257911	1.151510148	2.698000216	1.002149966	2.041546812	0	1.685626419	0.926413873	0.541711566	3.045621328	0.582092541
Hh10G019333_CRISP	0.531509084	0.560043904	11.24184663	23.28844534	0.422209846	0.486078641	0.968756538	1.284085352	1.685626419	0	0.586349546	0.651676065	9.304817884	1.460757036
HhUnG022429_CRISP	1.318338436	1.270169705	7.480564942	0.671845354	0.437955994	0.540213708	0.210781258	0.799420096	0.926413873	0.586349546	0	0.802286711	5.821645809	0.747745037
HhUnG022502_CRISP	0.542518159	0.742564998	0.831165714	2.213234374	0.808871709	0.763512244	0.641163023	0.594897402	0.541711566	0.651676065	0.802286711	0	1.44185258	0.179204718
HhUnG022504_CRISP	0.423524726	16.70705617	3.95982676	4.034046049	14.1239838	5.715110592	9.984653763	20.5737126	3.045621328	9.304817884	5.821645809	1.44185258	0	1.493555193
HhUnG022505_CRISP	0.531035467	0.761988952	0.768995827	0.786498592	0.771592131	0.776671022	0.599207838	0.596747882	0.582092541	1.460757036	0.747745037	0.179204718	1.493555193	0
