dir,protein_1,protein_2,RMSD after refinement,Number of aligned atoms after refinement,Number of refinement cycles,RMSD before refinement,Number of aligned atoms before refinement,Raw alignment score,Number of residues aligned
3FTx,Hh02G004177,Hh02G005288,9.88032341,459,1,9.88032341,459,324,62
3FTx,Hh02G004177,Hh03G008612,6.128622532,112,5,7.04936552,121,23,20
3FTx,Hh02G005288,Hh03G008612,6.788814068,119,3,6.983099937,121,24,20
3FTx,Hh02G004177,Hh03G008631,7.979064941,199,5,13.41247272,243,103,34
3FTx,Hh02G005288,Hh03G008631,14.82146168,315,5,15.48650265,323,30,56
3FTx,Hh03G008612,Hh03G008631,7.331503868,243,5,12.93878269,288,68.5,43
3FTx,Hh02G004177,Hh03G008612,6.128623009,112,5,7.04936552,121,23,20
3FTx,Hh02G004177,Hh03G008631,7.979065418,199,5,13.41247463,243,103,34
3FTx,Hh02G004177,Hh03G023188,3.410802126,160,4,3.709805965,167,70.5,28
3FTx,Hh02G005288,Hh03G023188,3.982265472,138,5,4.869003296,153,55.5,26
3FTx,Hh03G008612,Hh03G023188,2.749579668,326,5,4.560576439,396,143.5,57
3FTx,Hh03G008631,Hh03G023188,5.468470573,270,5,13.12505436,343,211,47
3FTx,Hh02G004177,Hh02G005288,9.880322456,459,1,9.880322456,459,324,62
3FTx,Hh02G004177,Hh03G008631,7.979064941,199,5,13.41247368,243,103,34
3FTx,Hh02G004177,Hh03G023188,3.410801888,160,4,3.709805965,167,70.5,28
3FTx,Hh02G004177,Hh03G023189,3.412604094,159,3,3.715118647,166,65.5,28
3FTx,Hh02G005288,Hh03G008612,6.788813591,119,3,6.983099461,121,24,20
3FTx,Hh02G005288,Hh03G008631,14.82146263,315,5,15.48650265,323,30,56
3FTx,Hh02G005288,Hh03G023189,4.037144184,138,5,4.857517242,152,50.5,26
3FTx,Hh03G008612,Hh03G023189,3.371770382,340,5,4.955317974,396,143.5,57
3FTx,Hh03G008631,Hh03G023188,5.46847105,270,5,13.12505436,343,211,47
3FTx,Hh03G008631,Hh03G023189,5.776209354,276,5,13.11622524,343,211,47
3FTx,Hh03G023188,Hh03G023189,0.064009845,428,5,1.159752965,615,450,81
3FTx,Hh02G004177,Hh03G008631,7.979064465,199,5,13.41247463,243,103,34
3FTx,Hh02G004177,Hh03G023188,3.410802364,160,4,3.709806442,167,70.5,28
3FTx,Hh02G004177,Hh03G023189,3.41260457,159,3,3.715119123,166,65.5,28
3FTx,Hh02G004177,Hh03G023190,3.410802364,160,4,3.709806681,167,70.5,28
3FTx,Hh02G005288,Hh03G008631,14.82146263,315,5,15.4865036,323,30,56
3FTx,Hh02G005288,Hh03G023188,3.982265234,138,5,4.869003296,153,55.5,26
3FTx,Hh02G005288,Hh03G023190,3.982265234,138,5,4.869002819,153,55.5,26
3FTx,Hh03G008612,Hh03G023189,3.371770144,340,5,4.955317974,396,143.5,57
3FTx,Hh03G008612,Hh03G023190,2.749579668,326,5,4.560576439,396,143.5,57
3FTx,Hh03G008631,Hh03G023189,5.776208878,276,5,13.11622524,343,211,47
3FTx,Hh03G008631,Hh03G023190,5.468470573,270,5,13.12505436,343,211,47
3FTx,Hh03G023188,Hh03G023189,0.064009823,428,5,1.159753203,615,450,81
3FTx,Hh03G023188,Hh03G023190,0,616,0,0,616,455,81
3FTx,Hh03G023189,Hh03G023190,0.064009845,428,5,1.159752965,615,450,81
3FTx,Hh02G004177,Hh02G005288,9.880321503,459,1,9.880321503,459,324,62
3FTx,Hh02G004177,Hh03G008612,6.128622532,112,5,7.049365997,121,23,20
3FTx,Hh02G004177,Hh03G008631,7.979064941,199,5,13.41247463,243,103,34
3FTx,Hh02G004177,Hh03G023188,3.410802364,160,4,3.709806681,167,70.5,28
3FTx,Hh02G004177,Hh03G023190,3.410802364,160,4,3.709806442,167,70.5,28
3FTx,Hh02G004177,HhUnG022166,12.42542362,219,4,15.80163097,243,103,34
3FTx,Hh02G005288,Hh03G023189,4.037143707,138,5,4.857517242,152,50.5,26
3FTx,Hh02G005288,Hh03G023190,3.982264996,138,5,4.869002819,153,55.5,26
3FTx,Hh02G005288,HhUnG022166,9.429598808,116,1,9.429598808,116,22,19
3FTx,Hh03G008612,Hh03G008631,7.331503391,243,5,12.93878174,288,68.5,43
3FTx,Hh03G008612,Hh03G023188,2.749579906,326,5,4.560576916,396,143.5,57
3FTx,Hh03G008612,Hh03G023189,3.371770382,340,5,4.955318451,396,143.5,57
3FTx,Hh03G008612,Hh03G023190,2.749579668,326,5,4.560576916,396,143.5,57
3FTx,Hh03G008612,HhUnG022166,9.114024162,190,5,11.80782127,211,62.5,30
3FTx,Hh03G008631,Hh03G023188,5.468470097,270,5,13.12505436,343,211,47
3FTx,Hh03G008631,Hh03G023190,5.468470097,270,5,13.12505436,343,211,47
3FTx,Hh03G008631,HhUnG022166,15.50453186,993,5,22.07242966,1152,747.5,147
3FTx,Hh03G023188,Hh03G023189,0.064009905,428,5,1.159753323,615,450,81
3FTx,Hh03G023188,HhUnG022166,9.315700531,245,4,11.75077343,266,199,34
3FTx,Hh03G023189,Hh03G023190,0.06400983,428,5,1.159753203,615,450,81
3FTx,Hh03G023189,HhUnG022166,9.3051548,245,4,11.65546131,266,199,34
3FTx,Hh03G023190,HhUnG022166,9.315700531,245,4,11.75077248,266,199,34
3FTx,Hh02G004177,Hh03G008612,6.128622055,112,5,7.049365044,121,23,20
3FTx,Hh02G004177,Hh03G008631,7.979063511,199,5,13.41247368,243,103,34
