molecule	gene	start	end	strand	orientation	abbr
Chr1	Hh01G000001	46751	61101	reverse	0	CRISP
Chr1	Hh01G000167	6716373	6744090	forward	1	PLI
Chr1	Hh01G000184	7480802	7492226	forward	1	DPP
Chr1	Hh01G000186	7515704	7569753	reverse	0	DPP
Chr1	Hh01G000799	63196377	63210926	forward	1	PDGF
Chr1	Hh01G001200	111010810	111011550	reverse	0	NGF
Chr1	Hh01G001428	137071616	137196428	forward	1	Veficolin
Chr1	Hh01G001449	138172053	138235837	reverse	0	LIP
Chr1	Hh01G001590	144279344	144279751	reverse	0	PLA2
Chr1	Hh01G001765	161833787	161890939	reverse	0	DPP
Chr1	Hh01G001870	184087186	184186361	reverse	0	DPP
Chr1	Hh01G002258	228974384	229005207	forward	1	LIP
Chr1	Hh01G002261	229072785	229087395	reverse	0	PDE
Chr1	Hh01G002297	233029414	233043763	forward	1	CRISP
Chr1	Hh01G002701	291689146	291698292	reverse	0	5'-NT
Chr1	Hh01G002702	291734122	291734871	reverse	0	5'-NT
Chr1	Hh01G002703	291811370	291848709	forward	1	5'-NT
Chr1	Hh01G002934	321273777	321352955	forward	1	PDE
Chr1	Hh01G002936	321390434	321436087	forward	1	PDE
Chr1	Hh01G003221	354865513	354879188	reverse	0	QPCT
Chr1	Hh01G003269	359977179	360007714	forward	1	PDGF
Chr1	Hh01G004111	437326139	437332799	forward	1	PLA2
Chr1	Hh01G004154	438333579	438339655	forward	1	AChE/CES
Chr2	Hh02G004177	109471	109960	reverse	0	3FTx
Chr2	Hh02G004717	21932884	21952597	forward	1	CRISP
Chr2	Hh02G005288	45241618	45241806	forward	1	3FTx
Chr2	Hh02G005355	48113965	48120695	reverse	0	AChE/CES
Chr2	Hh02G005356	48147968	48162529	reverse	0	AChE/CES
Chr2	Hh02G005366	48486545	48489629	reverse	0	AChE/CES
Chr2	Hh02G005387	49243710	49270325	forward	1	AChE/CES
Chr2	Hh02G005388	49280878	49295636	forward	1	AChE/CES
Chr2	Hh02G005411	49943453	49963591	forward	1	LAAO
Chr2	Hh02G005413	50012832	50022589	reverse	0	LAAO
Chr2	Hh02G005416	50235388	50262544	forward	1	LAAO
Chr2	Hh02G005560	67896052	67912995	reverse	0	AVIT
Chr2	Hh02G005824	101814938	101829136	forward	1	GH56
Chr2	Hh02G005865	106017942	106031515	forward	1	GH56
Chr2	Hh02G005866	106052962	106061328	forward	1	GH56
Chr2	Hh02G005868	106091567	106095788	forward	1	GH56
Chr2	Hh02G005974	112325033	112328095	forward	1	KSPI
Chr2	Hh02G005976	112437055	112437642	forward	1	KSPI
Chr2	Hh02G006592	179062427	179085580	reverse	0	PDE
Chr2	Hh02G006820	196323426	196328846	reverse	0	Exendin
Chr2	Hh02G007283	223146213	223345889	reverse	0	VF
Chr2	Hh02G007394	230833624	230862388	forward	1	LIP
Chr2	Hh02G007415	231778951	231784029	forward	1	CST
Chr2	Hh02G007546	239611746	239625802	reverse	0	CST
Chr2	Hh02G007641	248714056	248742818	reverse	0	LIP
Chr2	Hh02G008330	341611933	341625344	forward	1	SVSP
Chr2	Hh02G008398	351002529	351040146	reverse	0	LIP
Chr3	Hh03G008612	3281243	3284317	reverse	0	3FTx
Chr3	Hh03G008631	4064088	4071259	forward	1	3FTx
Chr3	Hh03G008685	13117080	13142030	reverse	0	AChE/CES
Chr3	Hh03G008687	13188203	13290537	reverse	0	AChE/CES
Chr3	Hh03G008694	13697308	13736658	forward	1	PLA2
Chr3	Hh03G008740	20730830	20796690	forward	1	PDE
Chr3	Hh03G008934	42309118	42335724	reverse	0	CRISP
Chr3	Hh03G008935	42405319	42427254	reverse	0	CRISP
Chr3	Hh03G009276	84327504	84336191	reverse	0	EDN/SRTX
Chr3	Hh03G009331	89596288	89617218	reverse	0	LIP
Chr3	Hh03G010215	197621793	197623115	reverse	0	AVIT
Chr3	Hh03G010271	200901223	200930272	reverse	0	CRISP
Chr3	Hh03G010457	218880699	218881430	reverse	0	NGF
Chr3	Hh03G010458	218918712	218919434	reverse	0	NGF
Chr3	Hh03G010622	233995282	233999037	forward	1	Waprin
Chr3	Hh03G010642	235145745	235155540	reverse	0	CRISP
Chr3	Hh03G010743	248358974	248382903	forward	1	EDN/SRTX
Chr3	Hh03G010919	264709176	264711550	reverse	0	vKUN
Chr3	Hh03G010920	264731917	264740625	reverse	0	vKUN
Chr3	Hh03G010921	264759411	264778506	reverse	0	vKUN
Chr3	Hh03G010922	264796600	264819658	reverse	0	vKUN
Chr3	Hh03G010924	264841322	264841974	reverse	0	vKUN
Chr3	Hh03G010925	264852568	264856403	reverse	0	vKUN
Chr3	Hh03G010927	264951406	264964047	forward	1	Waprin
Chr3	Hh03G010930	265019978	265020226	forward	1	vKUN
Chr3	Hh03G010931	265026083	265031875	forward	1	vKUN
Chr3	Hh03G010932	265061657	265069792	forward	1	vKUN
Chr3	Hh03G010933	265070903	265080527	reverse	0	vKUN
Chr3	Hh03G010935	265129838	265143253	forward	1	vKUN
Chr3	Hh03G010936	265144769	265149777	forward	1	vKUN
Chr3	Hh03G010939	265219851	265225970	forward	1	vKUN
Chr3	Hh03G010940	265268200	265273629	forward	1	vKUN
Chr4	Hh04G011038	3781596	3796807	reverse	0	NP
Chr4	Hh04G011158	16630110	16642561	reverse	0	AChE/CES
Chr4	Hh04G011159	17273792	17274235	reverse	0	AChE/CES
Chr4	Hh04G011201	23159847	23161373	forward	1	AChE/CES
Chr4	Hh04G011291	32699515	32737577	forward	1	MCO
Chr4	Hh04G011659	67570985	67620153	forward	1	LIP
Chr4	Hh04G011817	88055745	88119453	forward	1	LIP
Chr4	Hh04G011823	88496117	88605665	reverse	0	LIP
