	Hh01G001590_PLA2-I	Hh01G004111_PLA2	Hh03G008694_PLA2	Hh04G011863_PLA2	Hh06G015957_PLA2	Hh07G017101_PLA2	Hh11G019715_PLA2-I	Hh11G019716_PLA2-I	Hh11G019743_PLA2	Hh14G020926_PLA2	Hh16G021921_PLA2-I
Hh01G001590_PLA2-I	0	4.55228529	1.292291959	8.051043987	6.595833302	1.764572561	0.91727531	13.19122601	5.108253161	0.645114422	0.535324335
Hh01G004111_PLA2	4.55228529	0	27.93727875	13.83511031	13.19515215	25.99955877	7.933402157	7.235883355	37.19544601	5.534570932	16.21794128
Hh03G008694_PLA2	1.292291959	27.93727875	0	14.15196419	2.152411801	14.15914345	1.091799092	6.037950397	33.58736801	0.722435147	9.560726166
Hh04G011863_PLA2	8.051043987	13.83511031	14.15196419	0	11.25258201	1.017678758	22.97222633	6.034737587	12.36666965	17.25021362	14.94425869
Hh06G015957_PLA2	6.595833302	13.19515215	2.152411801	11.25258201	0	11.60801252	14.02896709	1.067625135	11.25300058	1.129543602	1.280696511
Hh07G017101_PLA2	1.764572561	25.99955877	14.15914345	1.017678758	11.60801252	0	16.72356453	10.19108295	25.92683029	19.55969238	23.47935295
Hh11G019715_PLA2-I	0.91727531	7.933402157	1.091799092	22.97222633	14.02896709	16.72356453	0	12.03305268	15.57284927	1.30576092	1.477407813
Hh11G019716_PLA2-I	13.19122601	7.235883355	6.037950397	6.034737587	1.067625135	10.19108295	12.03305268	0	9.064195951	7.017292976	14.79228306
Hh11G019743_PLA2	5.108253161	37.19544601	33.58736801	12.36666965	11.25300058	25.92683029	15.57284927	9.064195951	0	10.0602026	9.94123745
Hh14G020926_PLA2	0.645114422	5.534570932	0.722435147	17.25021362	1.129543602	19.55969238	1.30576092	7.017292976	10.0602026	0	0.509367645
Hh16G021921_PLA2-I	0.535324335	16.21794128	9.560726166	14.94425869	1.280696511	23.47935295	1.477407813	14.79228306	9.94123745	0.509367645	0
											
											
											
	4.679766222										
											
											
											
	◊Û”“≤Ó“ÏºÏ—È	0.197706648									
											
	Hh01G001590_PLA2-I				Hh11G019716_PLA2-I						
Hh01G004111_PLA2	4.55228529			Hh01G004111_PLA2	7.235883355						
Hh03G008694_PLA2	1.292291959			Hh03G008694_PLA2	6.037950397						
Hh04G011863_PLA2	8.051043987			Hh04G011863_PLA2	6.034737587						
Hh06G015957_PLA2	6.595833302			Hh06G015957_PLA2	1.067625135						
Hh07G017101_PLA2	1.764572561			Hh07G017101_PLA2	10.19108295						
Hh11G019743_PLA2	5.108253161			Hh11G019743_PLA2	9.064195951						
Hh14G020926_PLA2	0.645114422			Hh14G020926_PLA2	7.017292976						
											
AVERAGE	4.001342097				6.664109764						
F.TEST											
T.TEST	0.082020992				0.000678203						
											
	Hh01G001590_PLA2-I				Hh11G019716_PLA2-I						
Hh01G001590_PLA2-I		0.001345463		Hh01G001590_PLA2-I	13.19122601						
Hh11G019715_PLA2-I	0.91727531			Hh11G019715_PLA2-I	12.03305268						
Hh11G019716_PLA2-I				Hh11G019716_PLA2-I							
Hh16G021921_PLA2-I	0.535324335			Hh16G021921_PLA2-I	14.79228306						
	13.19122601										
	0.726299823				13.33885392						
											
AVERAGE											
F.TEST											
T.TEST											
